X8	MPG	CYL	DISP	HP	DRAT	WT	QSEC	VS	AM	GEAR	CARB
Mazda RX4	21	6	160	110	3.9d0	2.62d0	16.46d0	0	1	4	4
Mazda RX4 Wag	21	6	160	110	3.9d0	2.875d0	17.02d0	0	1	4	4
Datsun 710	22.8d0	4	108	93	3.85d0	2.32d0	18.61d0	1	1	4	1
Hornet 4 Drive	21.4d0	6	258	110	3.08d0	3.215d0	19.44d0	1	0	3	1
Hornet Sportabout	18.7d0	8	360	175	3.15d0	3.44d0	17.02d0	0	0	3	2
Valiant	18.1d0	6	225	105	2.76d0	3.46d0	20.22d0	1	0	3	1
Duster 360	14.3d0	8	360	245	3.21d0	3.57d0	15.84d0	0	0	3	4
Merc 240D	24.4d0	4	146.7d0	62	3.69d0	3.19d0	20	1	0	4	2
Merc 230	22.8d0	4	140.8d0	95	3.92d0	3.15d0	22.9d0	1	0	4	2
Merc 280	19.2d0	6	167.6d0	123	3.92d0	3.44d0	18.3d0	1	0	4	4
Merc 280C	17.8d0	6	167.6d0	123	3.92d0	3.44d0	18.9d0	1	0	4	4
Merc 450SE	16.4d0	8	275.8d0	180	3.07d0	4.07d0	17.4d0	0	0	3	3
Merc 450SL	17.3d0	8	275.8d0	180	3.07d0	3.73d0	17.6d0	0	0	3	3
Merc 450SLC	15.2d0	8	275.8d0	180	3.07d0	3.78d0	18	0	0	3	3
Cadillac Fleetwood	10.4d0	8	472	205	2.93d0	5.25d0	17.98d0	0	0	3	4
Lincoln Continental	10.4d0	8	460	215	3	5.424d0	17.82d0	0	0	3	4
Chrysler Imperial	14.7d0	8	440	230	3.23d0	5.345d0	17.42d0	0	0	3	4
Fiat 128	32.4d0	4	78.7d0	66	4.08d0	2.2d0	19.47d0	1	1	4	1
Honda Civic	30.4d0	4	75.7d0	52	4.93d0	1.615d0	18.52d0	1	1	4	2
Toyota Corolla	33.9d0	4	71.1d0	65	4.22d0	1.835d0	19.9d0	1	1	4	1
Toyota Corona	21.5d0	4	120.1d0	97	3.7d0	2.465d0	20.01d0	1	0	3	1
Dodge Challenger	15.5d0	8	318	150	2.76d0	3.52d0	16.87d0	0	0	3	2
AMC Javelin	15.2d0	8	304	150	3.15d0	3.435d0	17.3d0	0	0	3	2
Camaro Z28	13.3d0	8	350	245	3.73d0	3.84d0	15.41d0	0	0	3	4
Pontiac Firebird	19.2d0	8	400	175	3.08d0	3.845d0	17.05d0	0	0	3	2
Fiat X1-9	27.3d0	4	79	66	4.08d0	1.935d0	18.9d0	1	1	4	1
Porsche 914-2	26	4	120.3d0	91	4.43d0	2.14d0	16.7d0	0	1	5	2
Lotus Europa	30.4d0	4	95.1d0	113	3.77d0	1.513d0	16.9d0	1	1	5	2
Ford Pantera L	15.8d0	8	351	264	4.22d0	3.17d0	14.5d0	0	1	5	4
Ferrari Dino	19.7d0	6	145	175	3.62d0	2.77d0	15.5d0	0	1	5	6
Maserati Bora	15	8	301	335	3.54d0	3.57d0	14.6d0	0	1	5	8
Volvo 142E	21.4d0	4	121	109	4.11d0	2.78d0	18.6d0	1	1	4	2
